Format,Column1,Column2
person,Mike Ratto,
person,Nicholas Draper,
person,Mark Grigsby,
person,Andrew Colean,
person,Mark Rowland,
title,Dual Wield Studio,
person,Rowan Rowden,
person,Mengmeng Liu,
person,Alyssa Maynard,
person,Heather Panetti,
person,Lindsay Ishihiro,
person,Zara Varin,
person,Abby Palma,
person,Alice Putz,
person,Erik Tetreault,
person,Kara Markee,
person,Kat McCollum,
person,Katie McDermott,
person,Lauren Jordan,
person,Meghan Dornbrock,
person,Michael Moccio,
person,Michael DeVillar,
person,Nick Trujillo,
person,Paulomi S.P.,
person,Sydney Brown,
person,Tash Donkoh,
person,Wei Lim,
title,Robot Teddy,
person,Callum Underwood,
person,Gwen Foster,
person,Ranjani Natarajan,
person,Felix Kramer,
person,Flip Velez,
person,Kirsten-Lee Naidoo,
person,Richie de Wit,
person,Reese Wright,
person,Al Luis Lucas,
person,Melissa Chaplin,
person,Jess Alexander,
person,Martin Patino,
person,Jozette Anne Tuquib,
title,Special Thanks,
person,Carl Neisser,
person,Jesse (Binlord) Raen - Saunders,
person,Adrienne L. Saltz,
person,Tom Fulp,
person,Kristen Lynch,
person,Scott Hawkins,
person,Apol Sta. Maria,
person,Emory Irpan ,
person,Derek Lieu,
person,Blain Smith,
person,Callie Browning,
person,Josh Boykin,
person,Kate Saniel,
person,Nicoleen Zabala,
person,Amber Studios,
person,Windflower Games,
title,Maximum Games,
person,Christina Seeyle,
person,Wendy Young,
person,Gareth Hives,
person,Ryan Bodlaender,
person,Catherine Anderson,
person,Giuseppe Travalini,
person,Aaron Root,
person,Annabel Landeryou,
person,Shane Bierwith,
person,Joscelyn Willett,
person,Debbie Hives,
person,Nathan Paine,
person,Shawn Cotter,
person,Luke Croft,
person,Jericho Leon Guerrero,
person,Craig Maddocks,
person,Daniel Baron,
person,Dexter Manglicmot,
person,Josh Langell,
person,Kirsty Roberts,
person,Christopher Knapp,
person,Leah Brighton,
person,Caleb Langell,
person,Floyd Patrick Lu,
person,Yelena Tverdokhleb,
person,Ryan Yount,
person,Mauricio Ageno,
person,Elena Miller,
person,Gwen Aguilar,
person,Simon Jones,
person,Luke Bird,
person,Sam Traxinger,
title,Discord Mods,
person,whereisbaron,
person,Buttery Stancakes,
person,gK,
person,iGuEs5,
person,Kejayco,
person,Lunar L,
person,Mao,
person,Silent,
person,Veem,
person,Jake,
person,Shimmer,
person,LurkingJo,
person,Detective,
person,"Ayiana ""DragonLord"" Crabtree ",
person,AstroNUTS,
person,Belle,
person,clinodev,
person,Phi,
person,,
person,...and all the people who have helped us!,
title,Cosmetic Collaborations,
collab,© Microsoft. All rights reserved. Used with permission from Microsoft Corporation,
collab,"<nobr>Ratchet and Clank</nobr> costume <nobr>© 2021 Sony Interactive Entertainment.</nobr> ""PlayStation"", ""PS4"", ""PS5"" and <nobr>""Ratchet & Clank""</nobr>, are trademarks of <nobr>Sony Interactive Entertainment.</nobr>",
collab,© 2016 COVER Corp.,
collab,GLASS ONION: A KNIVES OUT MYSTERY ™/© Netflix.  Used with permission.,
collab,"© 2022 Bungie, Inc. All rights reserved.  Bungie and the Bungie Logo are among the trademarks of Bungie, Inc.",
collab,© 2023 Pusheen Corp.,
collab,"SCREAM VI © 2023 Paramount Pictures.
Ghost Face is a Registered Trademark of Fun World Div., Easter Unlimited, Inc. ©1999. All Rights Reserved.
Spyglass Media Group, LLC 2023",
collab,<nobr>A Hat In Time</nobr> and related characters <nobr>Copyright © 2015-2023 Gears for Breakfast ApS.</nobr> All Rights Reserved.,
collab,"<nobr>Castle Crashers ©2005-2023 the Behemoth</nobr>
<nobr>BattleBlock Theater ©2009-2023 the Behemoth</nobr>
<nobr>Alien Hominid ©2002-2023 the Behemoth</nobr>",
collab,Celeste by <nobr>Maddy Makes Games Inc.</nobr> and <nobr>EXOK Games Ltd.</nobr>,
collab,<nobr>Crypt of the NecroDancer</nobr> <nobr>©2023 Brace Yourself Games Inc.</nobr>,
collab,"Undertale is used with permission from <nobr>Toby Fox</nobr>, all rights reserved. ",
collab,<nobr>Untitled Goose Game</nobr> <nobr>© House House</nobr> in cooperation with Panic.,
collab,"© 2024 by Gilmore's Glorious Goods LLC. All Rights Reserved. © 2024 Critical Role Productions LLC. All Rights Reserved. Critical Role names, logos, characters, likenesses thereof and all related elements are trademarks and copyrighted properties of Critical Role LLC.",
collab,"©CAPCOM. ACE ATTORNEY, PHOENIX WRIGHT and MILES EDGEWORTH are trademarks and/or registered trademarks of CAPCOM CO., LTD. and/or its subsidiaries in the U.S. and/or other countries",
collab,Portions of the materials used are trademarks and/or  derived  from  copyrighted  works  of  Sega  Corporation. All  rights  are  reserved  by  Sega.  Sega  has not endorsed this game.,
collab,Copyright © COGNOSPHERE. All Rights Reserved.,
collab,Stardew Valley Copyright © 2016-2025 ConcernedApe LLC,
